Number	Accession	A's	G'c	C's	T's	N's	Length	GC%
1	EU521893	350	225	217	245	0	1037	fpCG
2	EU521806	368	260	234	265	0	1127	fpCG
3	EU521894	343	216	215	235	0	1009	fpCG
4	EU521895	351	228	220	244	0	1043	fpCG
5	EU521896	351	230	222	245	0	1048	fpCG
6	EU521897	355	230	221	245	0	1051	fpCG
7	EU521937	365	236	228	248	0	1077	fpCG
8	EU521938	346	224	218	241	0	1029	fpCG
9	EU521939	361	234	224	248	0	1068	fpCG
10	EU521940	368	238	228	249	0	1083	fpCG
11	EU521986	345	218	214	240	0	1017	fpCG
12	EU605970	345	222	217	241	0	1025	fpCG
13	EU502138	337	209	216	225	0	987	fpCG
14	EU502139	343	202	215	227	0	987	fpCG
15	EU521927	347	225	218	239	0	1029	fpCG
16	EU521928	347	225	218	238	0	1028	fpCG
17	EU521929	360	236	227	248	0	1071	fpCG
18	EU521930	351	227	224	241	0	1043	fpCG
19	EU521931	359	237	222	249	0	1067	fpCG
20	EU521932	361	233	224	246	0	1064	fpCG
21	EU521933	331	200	204	228	0	963	fpCG
22	EU521934	358	236	227	246	0	1067	fpCG
23	EU521891	350	230	221	244	0	1045	fpCG
24	EU521892	358	229	224	249	0	1060	fpCG
25	EU521812	370	255	239	263	0	1127	fpCG
26	EU521813	346	223	218	233	0	1020	fpCG
27	EU521815	368	257	238	264	0	1127	fpCG
28	EU521829	382	246	233	266	0	1127	fpCG
29	EU521830	372	234	232	252	0	1090	fpCG
30	EU521839	382	244	232	269	0	1127	fpCG
31	EU521840	373	235	228	257	0	1093	fpCG
32	EU521970	354	230	224	244	0	1052	fpCG
33	EU521992	335	200	207	228	0	970	fpCG
34	EU521999	350	227	220	244	0	1041	fpCG
35	EU522000	376	246	237	266	0	1125	fpCG
36	EU522001	373	241	231	263	0	1108	fpCG
37	EU521983	346	227	220	242	0	1035	fpCG
38	EU521984	277	166	183	198	0	824	fpCG
39	EU521985	340	208	218	231	0	997	fpCG
40	EU521898	349	230	220	244	0	1043	fpCG
41	EU521900	359	232	228	255	0	1074	fpCG
42	EU521906	375	243	237	264	0	1119	fpCG
43	EU521913	381	244	241	265	0	1131	fpCG
44	EU521914	366	237	229	250	0	1082	fpCG
45	EU521915	375	248	234	257	0	1114	fpCG
46	EU521916	360	231	229	255	0	1075	fpCG
47	EU521917	345	224	220	243	0	1032	fpCG
48	EU521918	365	236	229	247	0	1077	fpCG
49	EU521935	345	225	219	239	0	1028	fpCG
50	EU521936	365	236	228	248	0	1077	fpCG
51	EU521964	367	237	231	249	0	1084	fpCG
52	EU521998	338	213	214	230	0	995	fpCG
53	EU521994	374	248	238	265	0	1125	fpCG
54	EU521995	365	240	233	262	0	1100	fpCG
