#Site	Distance	eQTL	[Gene:P-val:Population]
1:13738966	3629	1:13735337	FBXO17:3e-05:1,SAMD10:6e-05:1,GDF15:2e-05:1
1:21879573	265	1:21879308	NULL
1:67223801	1822	1:67225623	OSBP:0.0001:2,JAK1:4e-05:2
1:69058512	3312	1:69061824	NULL
1:106274616	4588	1:106279204	NULL
1:166221618	2701	1:166224319	NULL
1:186883526	91	1:186883617	NULL
1:187220884	6943	1:187213941	LOC286126:9e-06:2,NRBP2:9e-06:2,MGC42105:7e-05:1
1:216055001	211	1:216055212	FAM40B:8e-05:1,RSAD2:9e-05:1,EDARADD:5e-05:1,ENO1:5e-05:1,ENO1P:5e-05:1,MLKL:4e-05:1,ZNF81:9e-05:1,TMEM134:0.0001:1,BTBD3:8e-05:1,MUM1:5e-05:1,FDX1:6e-05:1
4:70988168	0	4:70988168	NULL
4:135061475	1	4:135061474	NULL
4:156337778	3	4:156337775	NULL
5:501	81448	5:81949	FNDC3B:3e-05:2,SLC15A2:8e-05:2,RALGPS1:8e-05:2
17:45653966	1	17:45653965	SH2B3:5e-05:1,ANKRD36B:7e-05:1,FLJ40330:7e-05:1
